 
0
1
2
3
4
5
6
7
8
9
a
aʻ
b
c
d
e
eʻ
f
g
gʻ
h
i
iʻ
j
k
l
m
n
o
oʻ
p
q
r
s
t
u
uʻ
v
w
x
y
z
¥
©
«
®
°
·
»
×
ß
à
á
â
ã
ä
å
æ
ç
è
é
ê
ë
ì
í
î
ï
ñ
ò
ó
ô
õ
ö
ø
ù
ú
û
ü
ÿ
œ
ş
ʻ
ά
έ
ή
ί
α
β
γ
δ
ε
ζ
η
θ
ι
κ
λ
μ
ν
ξ
ο
π
ρ
ς
σ
τ
υ
φ
χ
ψ
ω
ό
ύ
ώ
а
б
в
г
д
е
ж
з
и
й
к
л
м
н
о
п
р
с
т
у
ф
х
ц
ч
ш
щ
ъ
ы
ь
э
ю
я
є
і
ї
ј
љ
њ
ћ
ў
ַ
ָ
ּ
ֿ
א
ב
ג
ד
ה
ו
ז
ח
ט
י
ך
כ
ל
ם
מ
ן
נ
ס
ע
ף
פ
ץ
צ
ק
ר
ש
ת
،
ء
آ
أ
إ
ئ
ا
ب
ة
ت
ث
ج
ح
خ
د
ذ
ر
ز
س
ش
ص
ض
ط
ظ
ع
غ
ف
ق
ك
ل
م
ن
ه
و
ى
ي
َ
ِ
ٹ
ټ
پ
ځ
څ
چ
ڈ
ډ
ڑ
ړ
ږ
ژ
ښ
ک
ګ
ڭ
گ
ں
ھ
ہ
ۆ
ۇ
ۈ
ۋ
ی
ۍ
ې
ے
۔
ە
ँ
ं
अ
आ
इ
ई
उ
ए
ओ
औ
क
ख
ग
घ
च
छ
ज
झ
ट
ठ
ड
ढ
ण
त
थ
द
ध
न
प
फ
ब
भ
म
य
र
ल
ळ
व
श
ष
स
ह
़
ा
ि
ी
ु
ू
ृ
े
ै
ॉ
ो
ौ
्
।
०
१
२
३
५
७
ঁ
ং
অ
আ
ই
উ
এ
ও
ক
খ
গ
ঘ
ঙ
চ
ছ
জ
ঞ
ট
ঠ
ড
ণ
ত
থ
দ
ধ
ন
প
ফ
ব
ভ
ম
য
র
ল
শ
ষ
স
হ
়
া
ি
ী
ু
ূ
ৃ
ে
ৈ
ো
ৌ
্
ৎ
য়
০
১
২
৩
৪
৫
৯
ৰ
ৱ
৷
ก
ข
ค
ง
จ
ช
ซ
ญ
ณ
ด
ต
ถ
ท
ธ
น
บ
ป
ผ
พ
ฟ
ภ
ม
ย
ร
ล
ว
ศ
ษ
ส
ห
อ
ะ
ั
า
ำ
ิ
ี
ึ
ื
ุ
ู
เ
แ
โ
ใ
ไ
ๆ
็
่
้
์
–
—
―
‘
’
“
”
•
…
‧
※
℃
↑
→
↓
⇒
−
∼
≫
①
②
③
ⓒ
─
━
■
□
▲
△
▶
▼
◆
◇
○
◎
●
★
☆
♡
♥
♪
✨
、
。
々
〇
〈
〉
《
》
「
」
『
』
【
】
〔
〕
〜
ぁ
あ
い
う
ぇ
え
お
か
が
き
ぎ
く
ぐ
け
げ
こ
ご
さ
ざ
し
じ
す
ず
せ
ぜ
そ
ぞ
た
だ
ち
っ
つ
づ
て
で
と
ど
な
に
ぬ
ね
の
は
ば
ぱ
ひ
び
ぴ
ふ
ぶ
ぷ
へ
べ
ほ
ぼ
ぽ
ま
み
む
め
も
ゃ
や
ゅ
ゆ
ょ
よ
ら
り
る
れ
ろ
わ
を
ん
ァ
ア
ィ
イ
ゥ
ウ
ェ
エ
ォ
オ
カ
ガ
キ
ギ
ク
グ
ケ
ゲ
コ
ゴ
サ
ザ
シ
ジ
ス
ズ
セ
ゼ
ソ
ゾ
タ
ダ
チ
ッ
ツ
テ
デ
ト
ド
